City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Pangnirtung,CA,2022-05-15 14:40:04,66.1451,-65.7125,24.4,76,8,2.33
273,Vestmannaeyjar,IS,2022-05-15 14:47:52,63.4427,-20.2734,49.19,93,75,10.36
274,Lagdo,CM,2022-05-15 14:49:43,9.05,13.7333,101.03,24,16,0.56
275,Taoudenni,ML,2022-05-15 14:49:43,22.6783,-3.9836,106.09,4,14,24.11
276,Alofi,NU,2022-05-15 14:49:44,-19.0595,-169.9187,62.49,94,100,1.14
277,Meulaboh,ID,2022-05-15 14:49:44,4.1363,96.1285,76.62,91,100,9.06
278,Jiangyou,CN,2022-05-15 14:49:45,31.7667,104.7167,60.64,76,72,3.69
279,Maloy,NO,2022-05-15 14:49:45,61.9353,5.1136,51.53,92,65,10.4
280,Sao Joao Da Barra,BR,2022-05-15 14:49:46,-21.6403,-41.0511,80.69,71,23,15.64
281,Mundi,IN,2022-05-15 14:49:46,22.0667,76.5,101.16,12,19,10.85
282,Kirkwall,GB,2022-05-15 14:49:47,58.9848,-2.9587,55.96,82,0,14.97
283,Ahipara,NZ,2022-05-15 14:47:58,-35.1667,173.1667,64.51,87,97,11.97
284,Tiksi,RU,2022-05-15 14:49:47,71.6872,128.8694,3.11,100,72,2.95
285,Luderitz,NA,2022-05-15 14:49:48,-26.6481,15.1594,74.61,37,23,6.33
286,Atambua,ID,2022-05-15 14:46:24,-9.1061,124.8925,73.44,90,85,4.0
287,Haines Junction,CA,2022-05-15 14:49:48,60.7522,-137.5108,31.95,93,88,0.0
288,Saint Anthony,US,2022-05-15 14:49:49,45.0205,-93.218,67.24,52,0,8.05
289,Cosio,MX,2022-05-15 14:49:49,22.35,-102.3,70.21,37,62,3.27
290,Portel,BR,2022-05-15 14:49:49,-1.9356,-50.8211,83.16,76,100,4.99
291,Shangzhi,CN,2022-05-15 14:49:50,45.2167,127.9667,45.99,44,97,3.67
292,Mattawa,US,2022-05-15 14:49:50,46.7379,-119.9028,55.4,80,100,4.92
293,Fuxin,CN,2022-05-15 14:49:51,42.0156,121.6589,62.11,30,87,5.23
